iter	Passed	Remaining
439	1363	1735
440	1366	1731
441	1370	1729
442	1372	1725
443	1375	1722
444	1378	1719
445	1381	1716
446	1385	1713
447	1389	1711
448	1392	1708
449	1395	1705
450	1399	1703
451	1401	1699
452	1405	1697
453	1408	1694
454	1412	1691
455	1415	1688
456	1418	1685
457	1421	1681
458	1423	1678
459	1426	1674
460	1429	1671
461	1432	1667
462	1434	1664
463	1437	1661
464	1441	1657
465	1443	1654
466	1446	1651
467	1450	1648
468	1453	1645
469	1456	1642
470	1459	1639
471	1463	1636
472	1466	1633
473	1469	1630
474	1472	1627
475	1475	1624
476	1478	1620
477	1481	1617
478	1484	1614
479	1487	1611
480	1490	1607
481	1493	1604
482	1496	1601
483	1499	1598
484	1502	1595
485	1505	1592
486	1508	1589
487	1511	1586
488	1514	1583
489	1518	1580
490	1522	1577
491	1524	1574
492	1527	1571
493	1531	1568
494	1534	1565
495	1536	1561
496	1539	1557
497	1541	1554
498	1544	1550
499	1548	1548
500	1551	1544
501	1554	1541
502	1557	1538
503	1559	1534
504	1562	1531
505	1565	1528
506	1568	1525
507	1571	1522
508	1574	1519
509	1578	1516
510	1581	1513
511	1584	1509
512	1586	1506
513	1589	1503
514	1592	1500
515	1596	1497
516	1599	1494
517	1602	1491
518	1605	1488
519	1609	1485
520	1612	1482
521	1615	1479
522	1618	1475
523	1621	1472
524	1623	1469
525	1627	1466
526	1630	1463
527	1633	1460
528	1636	1456
529	1639	1453
530	1642	1450
531	1645	1447
532	1647	1443
533	1650	1440
534	1653	1437
535	1656	1433
536	1659	1430
537	1662	1427
538	1665	1424
539	1668	1420
540	1671	1418
541	1674	1414
542	1677	1411
543	1679	1408
544	1682	1404
545	1685	1401
546	1688	1398
547	1691	1395
548	1694	1392
549	1697	1388
550	1700	1385
551	1703	1382
552	1706	1379
553	1710	1377
554	1713	1373
555	1716	1370
556	1720	1368
557	1723	1365
558	1726	1362
559	1730	1359
560	1733	1356
561	1736	1353
562	1740	1350
563	1743	1347
564	1746	1344
565	1749	1341
566	1753	1338
567	1756	1335
568	1759	1332
569	1762	1329
570	1765	1326
571	1767	1322
572	1770	1319
573	1773	1316
574	1777	1313
575	1780	1310
576	1783	1307
577	1786	1304
578	1789	1301
579	1792	1297
580	1794	1294
581	1797	1290
582	1800	1287
583	1803	1284
584	1806	1281
585	1809	1278
586	1812	1275
587	1815	1272
588	1819	1269
589	1822	1266
590	1825	1263
591	1828	1260
592	1831	1256
593	1833	1253
594	1837	1250
595	1839	1247
596	1842	1244
597	1845	1240
598	1849	1237
599	1852	1234
600	1855	1231
601	1858	1228
602	1861	1225
603	1864	1222
604	1867	1219
605	1871	1216
606	1873	1213
607	1876	1209
608	1879	1206
609	1881	1203
610	1884	1199
611	1887	1196
612	1891	1193
613	1894	1190
614	1897	1187
615	1900	1184
616	1903	1181
617	1906	1178
618	1909	1175
619	1912	1172
620	1915	1169
621	1918	1166
622	1921	1163
623	1924	1159
624	1927	1156
625	1930	1153
626	1933	1150
627	1936	1147
628	1939	1143
629	1942	1140
630	1944	1137
631	1948	1134
632	1952	1131
633	1955	1128
634	1958	1125
635	1961	1122
636	1964	1119
637	1967	1116
638	1970	1113
639	1973	1110
640	1976	1107
641	1979	1104
642	1983	1101
643	1987	1098
644	1990	1095
645	1993	1092
646	1996	1089
647	1998	1085
648	2001	1082
649	2004	1079
650	2007	1076
651	2011	1073
652	2014	1070
653	2017	1067
654	2021	1064
655	2023	1061
656	2026	1057
657	2029	1054
658	2032	1051
659	2035	1048
660	2038	1045
661	2041	1042
662	2044	1039
663	2047	1035
664	2050	1032
665	2053	1029
666	2055	1026
667	2058	1023
668	2061	1020
669	2065	1017
670	2068	1014
671	2071	1011
672	2074	1007
673	2077	1004
674	2080	1001
675	2083	998
676	2085	995
677	2089	992
678	2092	989
679	2095	985
680	2097	982
681	2100	979
682	2103	976
683	2106	972
684	2109	969
685	2112	966
686	2114	963
687	2117	960
688	2121	957
689	2124	954
690	2126	951
691	2129	948
692	2132	944
693	2135	941
694	2138	938
695	2141	935
696	2145	932
697	2147	929
698	2150	925
699	2152	922
700	2155	919
701	2159	916
702	2162	913
703	2165	910
704	2169	907
705	2172	904
706	2174	901
707	2177	898
708	2180	894
709	2183	891
710	2185	888
711	2188	885
712	2191	882
713	2194	879
714	2197	875
715	2199	872
716	2202	869
717	2205	866
718	2208	863
719	2211	859
720	2214	856
721	2217	853
722	2219	850
723	2222	847
724	2225	844
725	2227	840
726	2230	837
727	2234	834
728	2236	831
729	2239	828
730	2243	825
731	2246	822
732	2248	819
733	2251	815
734	2254	812
735	2257	809
736	2259	806
737	2262	803
738	2266	800
739	2268	797
740	2271	793
741	2274	790
742	2277	787
743	2280	784
744	2282	781
745	2285	778
746	2288	774
747	2290	771
748	2293	768
749	2295	765
750	2298	762
751	2301	759
752	2304	755
753	2307	752
754	2309	749
755	2312	746
756	2315	743
757	2318	740
