iter	Passed	Remaining
427	2536	3389
428	2538	3379
429	2541	3369
430	2544	3358
431	2546	3348
432	2549	3338
433	2552	3328
434	2555	3319
435	2558	3309
436	2561	3299
437	2563	3289
438	2566	3279
439	2569	3270
440	2572	3260
441	2575	3250
442	2577	3241
443	2580	3231
444	2583	3221
445	2585	3211
446	2588	3202
447	2591	3193
448	2594	3183
449	2597	3174
450	2600	3165
451	2603	3156
452	2606	3146
453	2608	3137
454	2611	3128
455	2614	3118
456	2617	3109
457	2619	3100
458	2622	3090
459	2625	3081
460	2628	3072
461	2630	3063
462	2633	3054
463	2636	3045
464	2638	3035
465	2641	3026
466	2643	3017
467	2645	3007
468	2648	2998
469	2651	2989
470	2653	2980
471	2656	2971
472	2658	2962
473	2661	2953
474	2664	2944
475	2667	2935
476	2669	2927
477	2672	2918
478	2675	2910
479	2678	2901
480	2680	2892
481	2683	2883
482	2685	2874
483	2688	2866
484	2691	2857
485	2693	2848
486	2696	2840
487	2698	2831
488	2701	2822
489	2703	2814
490	2706	2805
491	2709	2797
492	2711	2788
493	2714	2780
494	2716	2771
495	2719	2763
496	2722	2755
497	2724	2746
498	2727	2738
499	2730	2730
500	2732	2721
501	2735	2713
502	2738	2706
503	2741	2697
504	2743	2689
505	2746	2681
506	2748	2672
507	2751	2664
508	2754	2656
509	2756	2648
510	2759	2640
511	2762	2632
512	2764	2624
513	2767	2616
514	2770	2609
515	2773	2601
516	2776	2593
517	2778	2585
518	2781	2577
519	2784	2570
520	2786	2562
521	2789	2554
522	2792	2546
523	2794	2538
524	2796	2530
525	2799	2522
526	2802	2514
527	2804	2507
528	2807	2499
529	2810	2491
530	2812	2484
531	2815	2476
532	2817	2469
533	2820	2461
534	2823	2454
535	2826	2446
536	2829	2439
537	2832	2432
538	2834	2424
539	2837	2416
540	2839	2409
541	2842	2402
542	2845	2394
543	2847	2387
544	2850	2379
545	2853	2372
546	2855	2365
547	2858	2357
548	2861	2350
549	2864	2343
550	2867	2336
551	2869	2329
552	2872	2322
553	2875	2315
554	2878	2307
555	2881	2300
556	2883	2293
557	2886	2286
558	2889	2279
559	2891	2272
560	2894	2264
561	2897	2257
562	2899	2250
563	2902	2243
564	2904	2236
565	2906	2228
566	2908	2221
567	2911	2214
568	2914	2207
569	2917	2200
570	2920	2193
571	2922	2186
572	2925	2180
573	2928	2173
574	2930	2165
575	2933	2159
576	2935	2152
577	2938	2145
578	2941	2138
579	2943	2131
580	2946	2124
581	2949	2118
582	2951	2111
583	2955	2105
584	2959	2099
585	2962	2092
586	2965	2086
587	2967	2079
588	2970	2072
589	2973	2066
590	2976	2059
591	2978	2053
592	2981	2046
593	2984	2039
594	2987	2033
595	2990	2026
596	2992	2020
597	2995	2013
598	2998	2007
599	3001	2000
600	3003	1994
601	3006	1987
602	3009	1981
603	3011	1974
604	3014	1967
605	3016	1961
606	3019	1955
607	3022	1948
608	3025	1942
609	3027	1935
610	3030	1929
611	3033	1923
612	3036	1917
613	3039	1910
614	3042	1904
615	3045	1898
616	3047	1891
617	3050	1885
618	3053	1879
619	3055	1872
620	3058	1866
621	3062	1861
622	3065	1854
623	3068	1849
624	3071	1843
625	3074	1836
626	3076	1830
627	3080	1824
628	3083	1818
629	3085	1812
630	3089	1806
631	3092	1800
632	3094	1794
633	3097	1788
634	3100	1781
635	3103	1775
636	3105	1769
637	3108	1763
638	3111	1757
639	3113	1751
640	3116	1745
641	3119	1739
642	3121	1733
643	3124	1727
644	3126	1720
645	3129	1714
646	3132	1708
647	3134	1702
648	3137	1696
649	3139	1690
650	3143	1685
651	3146	1679
652	3148	1673
653	3151	1667
654	3154	1661
655	3157	1655
656	3160	1649
657	3163	1644
658	3165	1638
659	3168	1632
660	3171	1626
661	3174	1620
662	3176	1614
663	3178	1608
664	3181	1602
665	3184	1597
666	3187	1591
667	3190	1585
668	3192	1579
669	3195	1573
670	3198	1568
671	3200	1562
672	3203	1556
673	3206	1551
674	3209	1545
675	3212	1539
676	3214	1533
677	3217	1528
678	3220	1522
679	3222	1516
680	3225	1510
681	3227	1504
682	3230	1499
683	3233	1493
684	3235	1488
685	3238	1482
686	3241	1476
687	3243	1470
688	3246	1465
689	3248	1459
690	3251	1453
691	3254	1448
692	3256	1442
693	3260	1437
694	3262	1431
695	3265	1426
696	3268	1420
697	3270	1415
698	3273	1409
699	3276	1404
700	3279	1398
701	3282	1393
702	3284	1387
703	3287	1382
704	3290	1376
705	3292	1371
706	3295	1365
707	3297	1360
708	3301	1354
709	3303	1349
710	3307	1344
711	3309	1338
712	3312	1333
713	3315	1327
714	3318	1322
715	3320	1317
716	3323	1311
717	3326	1306
718	3328	1300
719	3331	1295
720	3333	1290
721	3336	1284
722	3339	1279
723	3342	1274
724	3345	1268
725	3348	1263
726	3350	1258
727	3353	1252
728	3355	1247
729	3358	1242
730	3360	1236
731	3363	1231
732	3366	1226
733	3369	1220
734	3371	1215
735	3374	1210
736	3377	1205
737	3380	1199
738	3382	1194
739	3385	1189
740	3388	1184
741	3390	1179
742	3393	1173
743	3396	1168
744	3399	1163
745	3401	1158
746	3404	1153
747	3407	1147
748	3410	1142
749	3412	1137
750	3415	1132
751	3418	1127
752	3421	1122
753	3424	1117
754	3427	1112
755	3430	1107
756	3432	1101
757	3436	1097
758	3439	1092
759	3442	1086
760	3444	1081
761	3447	1076
762	3450	1071
763	3452	1066
764	3456	1061
765	3458	1056
766	3461	1051
767	3464	1046
768	3466	1041
769	3469	1036
770	3471	1031
771	3474	1026
772	3477	1021
773	3479	1016
774	3482	1011
775	3485	1006
776	3488	1001
777	3491	996
778	3495	991
779	3497	986
780	3500	981
781	3503	976
782	3505	971
783	3508	966
784	3511	961
785	3514	956
786	3516	951
787	3520	947
788	3523	942
789	3526	937
790	3528	932
791	3531	927
792	3534	922
793	3537	917
794	3539	912
795	3542	907
796	3544	902
797	3547	897
798	3550	893
799	3552	888
800	3555	883
801	3558	878
802	3560	873
803	3563	868
804	3566	863
805	3569	859
806	3572	854
807	3574	849
808	3577	844
809	3580	839
810	3582	834
811	3585	830
812	3588	825
813	3590	820
814	3592	815
815	3596	810
816	3598	806
817	3601	801
818	3604	796
819	3607	791
820	3609	787
821	3612	782
822	3615	777
823	3617	772
824	3620	768
825	3623	763
826	3626	758
827	3628	753
828	3631	749
829	3633	744
830	3636	739
831	3639	734
832	3642	730
833	3645	725
834	3648	720
835	3651	716
836	3654	711
837	3656	706
838	3659	702
839	3662	697
840	3665	693
841	3668	688
842	3671	683
843	3674	679
844	3676	674
845	3679	669
846	3682	665
847	3684	660
848	3687	655
849	3690	651
850	3693	646
851	3696	642
852	3699	637
853	3702	632
854	3704	628
855	3707	623
856	3709	619
857	3712	614
858	3714	609
859	3717	605
860	3720	600
861	3723	596
862	3726	591
863	3728	586
864	3731	582
865	3734	577
866	3736	573
867	3739	568
868	3742	564
869	3745	559
870	3747	555
871	3750	550
872	3752	545
873	3755	541
874	3758	536
875	3761	532
876	3764	527
877	3767	523
878	3770	519
879	3772	514
880	3775	509
881	3778	505
882	3781	500
883	3783	496
884	3786	492
885	3789	487
886	3791	483
887	3794	478
888	3797	474
889	3800	469
890	3802	465
891	3805	460
892	3807	456
893	3810	451
894	3813	447
895	3815	442
896	3818	438
897	3828	434
898	3831	430
899	3834	426
900	3837	421
901	3840	417
902	3843	412
903	3846	408
904	3849	404
905	3852	399
906	3854	395
907	3857	390
908	3860	386
909	3863	382
910	3866	377
911	3869	373
912	3871	368
913	3874	364
914	3876	360
915	3879	355
916	3882	351
917	3885	347
918	3888	342
919	3890	338
920	3894	334
921	3896	329
922	3899	325
923	3902	321
924	3905	316
925	3908	312
926	3911	308
927	3913	303
928	3916	299
929	3919	295
930	3922	290
931	3924	286
932	3928	282
933	3931	277
934	3934	273
935	3936	269
936	3939	264
937	3941	260
938	3944	256
939	3947	251
940	3950	247
941	3952	243
942	3955	239
943	3958	234
944	3960	230
945	3963	226
946	3966	221
947	3968	217
948	3971	213
949	3974	209
950	3976	204
951	3979	200
952	3982	196
953	3985	192
954	3988	187
955	3990	183
956	3993	179
957	3996	175
958	3999	170
959	4001	166
960	4004	162
961	4007	158
962	4010	154
963	4012	149
964	4015	145
965	4017	141
966	4020	137
967	4023	133
968	4026	128
969	4028	124
970	4031	120
971	4033	116
972	4036	112
973	4039	107
974	4042	103
975	4044	99
976	4047	95
977	4050	91
978	4052	86
979	4055	82
980	4058	78
981	4061	74
982	4064	70
983	4067	66
984	4069	61
985	4072	57
986	4074	53
987	4077	49
988	4079	45
989	4082	41
990	4085	37
991	4088	32
992	4090	28
993	4093	24
994	4096	20
995	4099	16
996	4101	12
997	4104	8
998	4106	4
999	4109	0
