iter	Passed	Remaining
437	1397	1793
438	1401	1790
439	1404	1787
440	1407	1784
441	1410	1781
442	1414	1778
443	1417	1775
444	1420	1771
445	1424	1769
446	1427	1765
447	1430	1762
448	1433	1758
449	1436	1755
450	1439	1752
451	1442	1749
452	1446	1746
453	1449	1743
454	1452	1739
455	1455	1736
456	1458	1733
457	1461	1729
458	1464	1726
459	1467	1723
460	1470	1719
461	1474	1716
462	1477	1713
463	1480	1710
464	1483	1706
465	1486	1703
466	1489	1700
467	1492	1697
468	1495	1693
469	1499	1690
470	1501	1686
471	1505	1683
472	1508	1680
473	1511	1676
474	1514	1673
475	1517	1670
476	1521	1668
477	1524	1664
478	1528	1662
479	1531	1659
480	1534	1655
481	1537	1652
482	1540	1649
483	1544	1646
484	1547	1643
485	1550	1639
486	1553	1636
487	1557	1633
488	1560	1630
489	1563	1627
490	1566	1623
491	1569	1620
492	1573	1617
493	1576	1614
494	1579	1611
495	1583	1608
496	1586	1605
497	1589	1602
498	1592	1599
499	1595	1595
500	1599	1592
501	1602	1589
502	1605	1586
503	1608	1583
504	1612	1580
505	1615	1576
506	1618	1573
507	1621	1570
508	1624	1567
509	1627	1563
510	1630	1560
511	1633	1557
512	1636	1553
513	1639	1550
514	1642	1547
515	1646	1544
516	1649	1541
517	1652	1538
518	1656	1534
519	1659	1531
520	1662	1528
521	1665	1525
522	1668	1521
523	1671	1518
524	1675	1515
525	1678	1512
526	1681	1509
527	1684	1505
528	1687	1502
529	1690	1499
530	1693	1496
531	1697	1492
532	1700	1489
533	1703	1486
534	1706	1483
535	1710	1480
536	1713	1477
537	1716	1473
538	1719	1470
539	1722	1467
540	1725	1464
541	1729	1461
542	1732	1457
543	1735	1454
544	1738	1451
545	1741	1448
546	1744	1444
547	1748	1441
548	1750	1438
549	1754	1435
550	1757	1431
551	1760	1428
552	1763	1425
553	1767	1422
554	1770	1419
555	1773	1415
556	1776	1412
557	1779	1409
558	1782	1406
559	1785	1402
560	1788	1399
561	1791	1396
562	1795	1393
563	1798	1390
564	1802	1387
565	1805	1384
566	1808	1381
567	1811	1377
568	1814	1374
569	1817	1370
570	1820	1367
571	1823	1364
572	1826	1361
573	1829	1357
574	1833	1354
575	1836	1351
576	1839	1348
577	1842	1345
578	1845	1341
579	1848	1338
580	1851	1335
581	1854	1332
582	1857	1328
583	1861	1325
584	1864	1322
585	1867	1319
586	1870	1316
587	1874	1313
588	1877	1309
589	1880	1306
590	1885	1304
591	1889	1302
592	1893	1299
593	1897	1296
594	1902	1294
595	1906	1292
596	1910	1289
597	1914	1287
598	1918	1284
599	1922	1281
600	1926	1279
601	1931	1276
602	1935	1273
603	1938	1271
604	1941	1267
605	1945	1264
606	1948	1261
607	1951	1258
608	1954	1255
609	1958	1251
610	1961	1248
611	1964	1245
612	1967	1242
613	1971	1239
614	1974	1236
615	1977	1232
616	1980	1229
617	1983	1226
618	1986	1222
619	1990	1219
620	1993	1216
621	1996	1213
622	1999	1209
623	2002	1206
624	2005	1203
625	2008	1199
